NAME,OTHER,FACT,EqGD,NEG_TGD,FGTGD,FNotGTGD,ExGTGD,ExNotGTGD,TGD
00025-sanitised,0,0,0,6,997,0,58,0,1061
00053-sanitised,0,0,0,0,1129,0,0,0,1129
00054-sanitised,0,0,0,0,3,0,0,0,3
00056-sanitised,0,0,0,0,12,0,0,0,12
00057-sanitised,0,0,0,0,11,0,1,0,12
00058-sanitised,0,0,0,0,7,0,1,0,8
00059-sanitised,0,0,0,0,47,0,1,0,48
00060-sanitised,0,0,0,0,72,0,4,0,76
00061-sanitised,0,0,0,0,6,0,0,0,6
00062-sanitised,0,0,0,0,72,0,6,0,78
00063-sanitised,0,0,0,0,61,0,6,0,67
00064-sanitised,0,0,0,0,3,0,0,0,3
00065-sanitised,0,0,0,0,12,0,0,0,12
00066-sanitised,0,0,0,0,20,0,0,0,20
00067-sanitised,0,0,0,0,24,0,0,0,24
00068-sanitised,0,0,0,0,33,0,0,0,33
00069-sanitised,0,0,0,0,8,0,0,0,8
00070-sanitised,0,0,0,0,42,0,0,0,42
00071-sanitised,0,0,0,0,14,0,0,0,14
00072-sanitised,0,0,0,0,31,0,0,0,31
00073-sanitised,0,0,0,0,77,0,2,0,79
00074-sanitised,0,0,0,0,21,0,0,0,21
00075-sanitised,0,0,0,0,125,0,1,0,126
00076-sanitised,0,0,0,0,186,0,0,0,186
00077-sanitised,0,0,0,0,4,0,0,0,4
00080-sanitised,0,0,0,0,26,0,0,0,26
00083-sanitised,0,0,0,0,15,0,0,0,15
00084-sanitised,0,0,0,0,4,0,0,0,4
00085-sanitised,0,0,0,0,2,0,0,0,2
00087-sanitised,0,0,0,1,77,0,0,0,78
00089-sanitised,0,0,0,1,87,0,0,0,88
00090-sanitised,0,0,0,1,66,0,0,0,67
00091-sanitised,0,0,0,0,13,0,0,0,13
00092-sanitised,0,0,0,0,32,0,0,0,32
00095-sanitised,0,0,0,1,63,0,0,0,64
00105-sanitised,0,0,0,0,11,0,0,0,11
00106-sanitised,0,0,0,0,43,0,1,0,44
00107-sanitised,0,0,0,0,22,0,0,0,22
00108-sanitised,0,0,0,0,26,0,0,0,26
00109-sanitised,0,0,0,1,83,0,0,0,84
00113-sanitised,0,0,0,0,24,0,0,0,24
00119-sanitised,0,0,0,5,3,0,0,0,8
00122-sanitised,0,0,0,0,2,0,0,0,2
00128-sanitised,0,0,0,0,1,0,0,0,1
00129-sanitised,0,0,0,0,13,0,0,0,13
00130-sanitised,0,0,0,0,3,0,0,0,3
00132-sanitised,0,0,0,0,18,0,0,0,18
00133-sanitised,0,0,0,0,10,0,0,0,10
00135-sanitised,0,0,0,0,55,0,0,0,55
00136-sanitised,0,0,0,0,48,0,0,0,48
00137-sanitised,0,0,0,0,158,0,0,0,158
00139-sanitised,0,0,0,0,145,0,0,0,145
00141-sanitised,0,0,0,0,116,0,0,0,116
00143-sanitised,0,0,0,0,187,0,0,0,187
00144-sanitised,0,0,0,0,2168,0,0,0,2168
00145-sanitised,0,0,0,0,60,0,0,0,60
00146-sanitised,0,0,0,0,1211,0,0,0,1211
00147-sanitised,0,0,0,0,4,0,0,0,4
00148-sanitised,0,0,0,0,629,0,0,0,629
00149-sanitised,0,0,0,0,213,0,0,0,213
00150-sanitised,0,0,0,0,84,0,0,0,84
00152-sanitised,0,0,0,0,22,0,0,0,22
00154-sanitised,0,0,0,0,6,0,0,0,6
00155-sanitised,0,0,0,0,86,0,0,0,86
00157-sanitised,0,0,0,0,438,0,0,0,438
00159-sanitised,0,0,0,0,316,0,0,0,316
00162-sanitised,0,0,0,0,9,0,0,0,9
00165-sanitised,0,0,0,4,125,0,0,0,129
00166-sanitised,0,0,0,0,10,0,0,0,10
00171-sanitised,0,0,0,27,61,0,1,0,89
00177-sanitised,0,0,0,0,357,0,0,0,357
00178-sanitised,0,0,0,0,46,0,0,0,46
00179-sanitised,0,0,0,0,25,0,0,0,25
00189-sanitised,0,0,0,0,7,0,0,0,7
00190-sanitised,0,0,0,4,12,0,0,0,16
00196-sanitised,0,0,0,0,36,0,0,0,36
00197-sanitised,0,0,0,1,80,0,0,0,81
00198-sanitised,0,0,0,1,85,0,0,0,86
00200-sanitised,0,0,0,0,42,0,0,0,42
00201-sanitised,0,0,0,0,25,0,0,0,25
00203-sanitised,0,0,0,0,21,0,0,0,21
00204-sanitised,0,0,0,1,67,0,0,0,68
00205-sanitised,0,0,0,0,5,0,0,0,5
00208-sanitised,0,0,0,0,9,0,0,0,9
00212-sanitised,0,0,0,0,3,0,0,0,3
00216-sanitised,0,0,0,0,7,0,0,0,7
00217-sanitised,0,0,0,0,8,0,0,0,8
00219-sanitised,0,0,0,0,18,0,0,0,18
00220-sanitised,0,0,0,0,3,0,0,0,3
00224-sanitised,0,0,0,0,7,0,0,0,7
00225-sanitised,0,0,0,0,3,0,0,0,3
00226-sanitised,0,0,0,0,5,0,0,0,5
00230-sanitised,0,0,0,0,5,0,0,0,5
00231-sanitised,0,0,0,0,4,0,0,0,4
00232-sanitised,0,0,0,0,38,0,0,0,38
00234-sanitised,0,0,0,0,8,0,0,0,8
00235-sanitised,0,0,0,0,18,0,0,0,18
00236-sanitised,0,0,0,0,22,0,0,0,22
00237-sanitised,0,0,0,0,2,0,0,0,2
00241-sanitised,0,0,0,0,28,0,0,0,28
00243-sanitised,0,0,0,1,83,0,0,0,84
00248-sanitised,0,0,0,1,101,0,0,0,102
00249-sanitised,0,0,0,1,97,0,0,0,98
00250-sanitised,0,0,0,1,111,0,0,0,112
00251-sanitised,0,0,0,1,104,0,0,0,105
00252-sanitised,0,0,0,1,107,0,0,0,108
00253-sanitised,0,0,0,1,103,0,0,0,104
00254-sanitised,0,0,0,1,164,0,0,0,165
00255-sanitised,0,0,0,0,17,0,0,0,17
00256-sanitised,0,0,0,0,65,0,0,0,65
00259-sanitised,0,0,0,0,6,0,0,0,6
00261-sanitised,0,0,0,0,1,0,0,0,1
00262-sanitised,0,0,0,0,1,0,0,0,1
00264-sanitised,0,0,0,0,2,0,0,0,2
00266-sanitised,0,0,0,0,17,0,0,0,17
00267-sanitised,0,0,0,0,7,0,1,0,8
00268-sanitised,0,0,0,0,3,0,0,0,3
00269-sanitised,0,0,0,1,72,0,0,0,73
00270-sanitised,0,0,0,1,63,0,0,0,64
00271-sanitised,0,0,0,1,65,0,0,0,66
00272-sanitised,0,0,0,1,77,0,0,0,78
00273-sanitised,0,0,0,1,71,0,0,0,72
00275-sanitised,0,0,0,0,127,0,0,0,127
00276-sanitised,0,0,0,0,13,0,0,0,13
00277-sanitised,0,0,0,0,101,0,0,0,101
00279-sanitised,0,0,0,1,168,0,8,0,177
00280-sanitised,0,0,0,0,257,0,0,0,257
00288-sanitised,0,0,0,0,84,0,0,0,84
00289-sanitised,0,0,0,7,35,0,0,0,42
00290-sanitised,0,0,0,8,150,0,5,0,163
00292-sanitised,0,0,0,0,31,0,0,0,31
00294-sanitised,0,0,0,0,41,0,0,0,41
00295-sanitised,0,0,0,0,42,0,0,0,42
00297-sanitised,0,0,0,0,71,0,0,0,71
00298-sanitised,0,0,0,0,81,0,0,0,81
00299-sanitised,0,0,0,0,9,0,0,0,9
00302-sanitised,0,0,0,0,374,0,0,0,374
00303-sanitised,0,0,0,0,361,0,0,0,361
00304-sanitised,0,0,0,0,38,0,0,0,38
00305-sanitised,0,0,0,0,20,0,0,0,20
00306-sanitised,0,0,0,0,14,0,0,0,14
00308-sanitised,0,0,0,0,7,0,0,0,7
00309-sanitised,0,0,0,0,83,0,0,0,83
00310-sanitised,0,0,0,0,22,0,0,0,22
00312-sanitised,0,0,0,0,23,0,0,0,23
00315-sanitised,0,0,0,0,9,0,0,0,9
00316-sanitised,0,0,0,0,43,0,1,0,44
00318-sanitised,0,0,0,0,67,0,0,0,67
00321-sanitised,0,0,0,0,15,0,0,0,15
00323-sanitised,0,0,0,0,12,0,0,0,12
00324-sanitised,0,0,0,0,48,0,0,0,48
00325-sanitised,0,0,0,0,1,0,0,0,1
00328-sanitised,0,0,0,0,51,0,0,0,51
00329-sanitised,0,0,0,0,16,0,0,0,16
00330-sanitised,0,0,0,0,3,0,0,0,3
00331-sanitised,0,0,0,0,9,0,0,0,9
00332-sanitised,0,0,0,0,228,0,4,0,232
00333-sanitised,0,0,0,0,66,0,1,0,67
00335-sanitised,0,0,0,0,33,0,0,0,33
00337-sanitised,0,0,0,0,27,0,0,0,27
00339-sanitised,0,0,0,0,93,0,3,0,96
00342-sanitised,0,0,0,0,11,0,0,0,11
00347-sanitised,0,0,0,0,98,0,8,0,106
00349-sanitised,0,0,0,0,98,0,8,0,106
00355-sanitised,0,0,0,44,166,0,0,0,210
00361-sanitised,0,0,0,0,326,0,0,0,326
00362-sanitised,0,0,0,42,91,0,0,0,133
00363-sanitised,0,0,0,44,105,0,0,0,149
00364-sanitised,0,0,0,42,71,0,0,0,113
00365-sanitised,0,0,0,44,73,0,0,0,117
00389-sanitised,0,0,0,0,200,0,100,0,300
00404-sanitised,0,0,0,69,45,0,2,0,116
00406-sanitised,0,0,0,111,126,0,2,0,239
00408-sanitised,0,0,0,0,10,0,0,0,10
00417-sanitised,0,0,0,0,340,0,170,0,510
00434-sanitised,0,0,0,0,21034,0,0,0,21034
00435-sanitised,0,0,0,0,9081,0,1,0,9082
00453-sanitised,0,0,0,0,157,0,0,0,157
00455-sanitised,0,0,0,0,990,0,0,0,990
00466-sanitised,0,0,0,0,6603,0,0,0,6603
00478-sanitised,0,0,0,0,937,0,0,0,937
00493-sanitised,0,0,0,8,76,0,0,0,84
00499-sanitised,0,0,0,0,13044,0,0,0,13044
00503-sanitised,0,0,0,0,258,0,0,0,258
00504-sanitised,0,0,0,4,644,0,11,0,659
00516-sanitised,0,0,0,0,7989,0,0,0,7989
00517-sanitised,0,0,0,0,11177,0,0,0,11177
00534-sanitised,0,0,0,0,630,0,315,0,945
00538-sanitised,0,0,0,0,204,0,102,0,306
00542-sanitised,0,0,0,0,18,0,9,0,27
00543-sanitised,0,0,0,0,18,0,9,0,27
00549-sanitised,0,0,0,0,458,0,0,0,458
00550-sanitised,0,0,0,0,853,0,3,0,856
00567-sanitised,0,0,0,0,516,0,0,0,516
00577-sanitised,0,0,0,0,16,0,15,0,31
00603-sanitised,0,0,0,0,20,0,0,0,20
00604-sanitised,0,0,0,0,32,0,0,0,32
00610-sanitised,0,0,0,42,115,0,0,0,157
00611-sanitised,0,0,0,0,24,0,0,0,24
00613-sanitised,0,0,0,44,129,0,0,0,173
00616-sanitised,0,0,0,0,64,0,0,0,64
00617-sanitised,0,0,0,0,63,0,0,0,63
00618-sanitised,0,0,0,0,44,0,0,0,44
00619-sanitised,0,0,0,0,31,0,0,0,31
00620-sanitised,0,0,0,0,58,0,0,0,58
00621-sanitised,0,0,0,0,70,0,0,0,70
00622-sanitised,0,0,0,0,38,0,0,0,38
00643-sanitised,0,0,0,0,456,0,0,0,456
00644-sanitised,0,0,0,0,638,0,0,0,638
00647-sanitised,0,0,0,0,36500,0,0,0,36500
00655-sanitised,0,0,0,0,27,0,0,0,27
00659-sanitised,0,0,0,0,12342,0,0,0,12342
00671-sanitised,0,0,0,0,71,0,0,0,71
00674-sanitised,0,0,0,0,2349,0,0,0,2349
00681-sanitised,0,0,0,0,8,0,4,0,12
00691-sanitised,0,0,0,0,276,0,0,0,276
00692-sanitised,0,0,0,0,297,0,0,0,297
00700-sanitised,0,0,0,0,1699,0,379,0,2078
00702-sanitised,0,0,0,0,1321,0,243,0,1564
00704-sanitised,0,0,0,0,616,0,158,0,774
00705-sanitised,0,0,0,0,572,0,145,0,717
00706-sanitised,0,0,0,0,520,0,158,0,678
00707-sanitised,0,0,0,0,412,0,125,0,537
00708-sanitised,0,0,0,0,215,0,69,0,284
00709-sanitised,0,0,0,0,211,0,65,0,276
00710-sanitised,0,0,0,0,356,0,119,0,475
00711-sanitised,0,0,0,0,421,0,113,0,534
00713-sanitised,0,0,0,0,683,0,197,0,880
00714-sanitised,0,0,0,0,298,0,90,0,388
00715-sanitised,0,0,0,0,785,0,233,0,1018
00716-sanitised,0,0,0,0,995,0,252,0,1247
00717-sanitised,0,0,0,0,45,0,3,0,48
00718-sanitised,0,0,0,0,182,0,42,0,224
00719-sanitised,0,0,0,0,713,0,197,0,910
00720-sanitised,0,0,0,0,364,0,80,0,444
00721-sanitised,0,0,0,0,347,0,90,0,437
00722-sanitised,0,0,0,0,753,0,150,0,903
00723-sanitised,0,0,0,0,369,0,105,0,474
00724-sanitised,0,0,0,0,1517,0,258,0,1775
00725-sanitised,0,0,0,0,46,0,3,0,49
00726-sanitised,0,0,0,0,571,0,100,0,671
00727-sanitised,0,0,0,0,1567,0,251,0,1818
00729-sanitised,0,0,0,0,124,0,24,0,148
00730-sanitised,0,0,0,0,43,0,2,0,45
00731-sanitised,0,0,0,0,252,0,69,0,321
00732-sanitised,0,0,0,0,633,0,160,0,793
00733-sanitised,0,0,0,0,1086,0,292,0,1378
00734-sanitised,0,0,0,0,148,0,44,0,192
00735-sanitised,0,0,0,0,455,0,122,0,577
00736-sanitised,0,0,0,0,52,0,3,0,55
00737-sanitised,0,0,0,0,350,0,105,0,455
00738-sanitised,0,0,0,0,301,0,69,0,370
00739-sanitised,0,0,0,0,412,0,93,0,505
00740-sanitised,0,0,0,0,477,0,128,0,605
00741-sanitised,0,0,0,0,1225,0,252,0,1477
00742-sanitised,0,0,0,0,312,0,77,0,389
00743-sanitised,0,0,0,0,1486,0,183,0,1669
00744-sanitised,0,0,0,0,430,0,101,0,531
00745-sanitised,0,0,0,0,528,0,136,0,664
00746-sanitised,0,0,0,0,768,0,190,0,958
00747-sanitised,0,0,0,0,686,0,170,0,856
00748-sanitised,0,0,0,0,398,0,96,0,494
00749-sanitised,0,0,0,0,820,0,166,0,986
00750-sanitised,0,0,0,0,416,0,77,0,493
00751-sanitised,0,0,0,0,391,0,110,0,501
00752-sanitised,0,0,0,0,1309,0,251,0,1560
00753-sanitised,0,0,0,0,337,0,91,0,428
00755-sanitised,0,0,0,0,756,0,174,0,930
00756-sanitised,0,0,0,0,950,0,225,0,1175
00765-sanitised,0,0,0,0,11,0,0,0,11
00767-sanitised,0,0,0,0,39,0,0,0,39
00771-sanitised,0,0,0,0,2,0,0,0,2
00779-sanitised,0,0,0,0,223,0,0,0,223
00784-sanitised,0,0,0,5,997,0,56,0,1058
