NAME,OTHER,FACT,EqGD,NEG_TGD,FGTGD,FNotGTGD,ExGTGD,ExNotGTGD,TGD
00001,0,46,64,2470,2665,19,253,0,5471
00002,0,16,44,1957,942,1,431,0,3375
00003,0,126,3,88,3263,3,16709,0,20066
00004,0,0,2,6,2107,2,16705,0,18822
00005,0,0,2,6,3211,2,16705,0,19926
00006,0,25,0,0,165,15,1075,0,1255
00007,0,1757,55,85,169,0,22,0,331
00008,0,215,55,85,169,0,22,0,331
00009,0,158,55,85,169,0,22,0,331
00010,0,337,55,85,169,0,22,0,331
00011,0,0,55,85,169,0,22,0,331
00012,0,0,68,13,281,4,12,0,378
00013,0,0,0,49,1279,23,74,0,1425
00014,0,120,8,57,1563,29,125,0,1782
00015,0,0,0,21,353,6,13,0,393
00016,0,0,0,48,1069,21,64,0,1202
00017,0,0,0,48,1191,21,64,0,1324
00018,0,45,3,48,1152,22,81,0,1306
00019,0,0,0,48,1092,21,67,0,1228
00020,0,75,2,52,1331,23,78,0,1486
00021,0,45,6,52,1213,25,101,0,1397
00022,0,0,0,21,433,6,13,0,473
00023,0,0,0,21,440,10,13,0,484
00024,0,123,8,57,1563,29,125,0,1782
00025,0,0,29,6,997,3,66,0,1101
00026,0,0,0,0,30697,3533,23858,0,58088
00027,0,0,674,0,31647,3591,23858,0,59770
00028,0,0,674,0,31647,3591,23858,0,59770
00029,0,0,150,0,4040,312,1776,271,6549
00030,0,0,0,0,3626,286,2096,272,6280
00031,0,0,0,0,3626,313,2096,271,6306
00032,0,0,151,0,4040,312,2096,272,6871
00033,0,0,0,0,9462,749,12339,0,22550
00034,0,0,59,0,9364,749,12339,0,22511
00035,0,0,59,0,9462,749,12339,0,22609
00036,0,0,59,0,9456,745,12329,0,22589
00037,0,0,59,0,9445,744,12323,0,22571
00038,0,0,60,0,9457,751,12339,0,22607
00039,0,0,150,0,4936,573,2437,0,8096
00040,0,0,1,323,103046,314,50772,0,154456
00041,0,0,1,6,68508,38,21197,0,89750
00042,0,0,1,41,72365,59,22295,0,94761
00044,0,0,1,27,68471,38,21197,0,89734
00045,0,0,1,286,100833,311,49513,0,150944
00046,0,0,1,43,70404,39,22297,0,92784
00047,0,0,1,6,68698,44,21309,0,90058
00048,0,0,1,2477,71680,78,21617,0,95853
00049,0,10,2,54,52,2,15,0,125
00050,0,0,2,44,51,2,15,0,114
00051,0,0,0,0,0,0,0,0,0
00052,0,0,0,0,25233,1,3764,0,28998
00053,0,0,0,0,1129,0,0,0,1129
00054,0,0,0,0,3,0,0,0,3
00055,0,0,2,10,212,2,23,0,249
00056,0,0,0,0,12,0,0,0,12
00057,0,0,2,0,11,0,3,0,16
00058,0,0,2,0,7,0,3,0,12
00059,0,0,6,0,47,0,5,0,58
00060,0,0,8,0,72,0,9,0,89
00061,0,0,0,0,6,0,0,0,6
00062,0,9,6,0,72,0,10,0,88
00063,0,0,9,0,61,0,12,0,82
00064,0,1,0,0,3,0,0,0,3
00065,0,0,4,0,12,0,3,0,19
00066,0,0,9,0,20,0,1,0,30
00067,0,0,8,0,24,0,0,0,32
00068,0,0,18,0,33,0,2,0,53
00069,0,0,4,0,8,0,1,0,13
00070,0,0,5,0,42,0,0,0,47
00071,0,0,7,0,14,0,1,0,22
00072,0,0,5,0,31,0,1,0,37
00073,0,0,9,0,77,0,6,0,92
00074,0,0,0,0,21,0,0,0,21
00075,0,191,1,0,125,0,2,0,128
00076,0,11,0,0,186,0,0,0,186
00077,0,2,0,0,4,0,0,0,4
00078,0,179,13,0,748,0,10,0,771
00079,0,460,0,0,32,0,2,0,34
00080,0,8211,1,0,26,1,0,0,28
00081,0,480,447,1,679,0,93,0,1220
00082,0,913,17,0,263,0,188,0,468
00083,0,14,0,0,15,0,0,0,15
00084,0,1,0,0,4,0,0,0,4
00085,0,1,0,0,2,0,0,0,2
00086,0,24,0,0,0,0,0,0,0
00087,0,16,0,1,78,0,0,0,79
