NAME,OTHER,FACT,EqGD,NEG_TGD,FGTGD,FNotGTGD,ExGTGD,ExNotGTGD,TGD
00001,0,27,0,2458,2483,0,253,0,5194
00002,0,16,0,1957,942,0,432,0,3331
00003,0,126,0,88,3263,0,16709,0,20060
00004,0,0,0,6,2107,0,16705,0,18818
00005,0,0,0,6,3211,0,16705,0,19922
00006,0,25,0,0,165,0,1075,0,1240
00007,0,1756,0,85,169,0,22,0,276
00008,0,214,0,85,169,0,22,0,276
00009,0,157,0,85,169,0,22,0,276
00010,0,336,0,85,169,0,22,0,276
00011,0,0,0,85,169,0,22,0,276
00012,0,0,0,13,281,0,13,0,307
00013,0,0,0,44,1279,0,76,0,1399
00014,0,120,5,48,1563,0,134,0,1750
00015,0,0,0,18,353,0,13,0,384
00016,0,0,0,43,1069,0,65,0,1177
00017,0,0,0,43,1191,0,65,0,1299
00018,0,45,3,43,1152,0,82,0,1280
00019,0,0,0,43,1092,0,68,0,1203
00020,0,75,2,45,1331,0,81,0,1459
00021,0,45,3,45,1213,0,107,0,1368
00022,0,0,0,18,433,0,13,0,464
00023,0,0,0,18,440,0,13,0,471
00024,0,123,5,48,1563,0,134,0,1750
00025,0,0,0,6,997,0,68,0,1071
00026,0,0,0,0,30697,0,23858,0,54555
00027,0,0,0,0,31647,0,23858,0,55505
00028,0,0,0,0,31647,0,23858,0,55505
00029,0,0,0,0,4040,0,1776,0,5816
00030,0,0,0,0,3626,0,2096,0,5722
00031,0,0,0,0,3626,0,2096,0,5722
00032,0,0,0,0,4040,0,2096,0,6136
00033,0,0,0,0,9462,0,12339,0,21801
00034,0,0,0,0,9364,0,12339,0,21703
00035,0,0,0,0,9462,0,12339,0,21801
00036,0,0,0,0,9456,0,12329,0,21785
00037,0,0,0,0,9445,0,12323,0,21768
00038,0,0,0,0,9457,0,12339,0,21796
00039,0,0,0,0,4936,0,2437,0,7373
00040,0,0,0,323,103042,0,50790,0,154155
00041,0,0,0,6,68508,0,21197,0,89711
00042,0,0,0,41,72365,0,22295,0,94701
00043,0,0,0,6,116974,0,25490,0,142470
00044,0,0,0,27,68471,0,21197,0,89695
00045,0,0,0,286,100829,0,49531,0,150646
00046,0,0,0,43,70404,0,22297,0,92744
00047,0,0,0,6,68696,0,21309,0,90011
00049,0,5,0,54,52,0,15,0,121
00050,0,0,0,44,51,0,15,0,110
00051,0,0,0,0,0,0,0,0,0
00052,0,0,0,0,25233,0,3764,0,28997
00053,0,0,0,0,1129,0,0,0,1129
00054,0,0,0,0,3,0,0,0,3
00055,0,0,0,10,212,0,23,0,245
00056,0,0,0,0,12,0,0,0,12
00057,0,0,0,0,11,0,3,0,14
00058,0,0,0,0,7,0,3,0,10
00059,0,0,0,0,47,0,5,0,52
00060,0,0,0,0,72,0,9,0,81
00061,0,0,0,0,6,0,0,0,6
00062,0,0,0,0,72,0,11,0,83
00063,0,0,0,0,61,0,12,0,73
00064,0,1,0,0,3,0,0,0,3
00065,0,0,0,0,12,0,3,0,15
00066,0,0,0,0,20,0,1,0,21
00067,0,0,0,0,24,0,0,0,24
00068,0,0,0,0,33,0,2,0,35
00069,0,0,0,0,8,0,1,0,9
00070,0,0,0,0,42,0,0,0,42
00071,0,0,0,0,14,0,1,0,15
00072,0,0,0,0,31,0,1,0,32
00073,0,0,0,0,77,0,6,0,83
00074,0,0,0,0,21,0,0,0,21
00075,0,191,0,0,125,0,2,0,127
00076,0,12,0,0,186,0,0,0,186
00077,0,2,0,0,4,0,0,0,4
00078,0,178,0,0,748,0,10,0,758
00079,0,460,0,0,32,0,2,0,34
00080,0,8210,0,0,26,0,0,0,26
00081,0,240,0,1,679,0,93,0,773
00082,0,913,8,0,263,0,188,0,459
00083,0,14,0,0,15,0,0,0,15
00084,0,1,0,0,4,0,0,0,4
00085,0,1,0,0,2,0,0,0,2
00086,0,24,0,0,0,0,0,0,0
00087,0,16,0,0,77,0,0,0,77
00088,0,11,0,0,105,0,0,0,105
00089,0,8,0,0,87,0,0,0,87
00090,0,8,0,0,66,0,0,0,66
00091,0,0,0,0,13,0,0,0,13
00092,0,0,0,0,32,0,0,0,32
00093,0,1,0,0,216,0,0,0,216
00094,0,8,0,0,138,0,17,0,155
00095,0,8,0,0,63,0,0,0,63
00096,0,417,0,0,0,0,0,0,0
00097,0,346,0,0,0,0,0,0,0
00098,0,423,0,0,0,0,0,0,0
00099,0,416,0,0,0,0,0,0,0
00100,0,385,0,0,0,0,0,0,0
00101,0,395,0,0,0,0,0,0,0
00102,0,415,0,0,0,0,0,0,0
00103,0,187,0,0,263,0,0,0,263
00104,0,2450,0,0,1129,0,0,0,1129
00105,0,0,0,0,11,0,0,0,11
00106,0,2,0,0,43,0,4,0,47
00107,0,0,0,0,22,0,0,0,22
00108,0,0,0,0,16,0,0,0,16
00109,0,7,0,0,83,0,0,0,83
00110,0,641,0,0,244,0,172,0,416
00111,0,2,0,1,44,0,0,0,45
00112,0,172,0,4,120,0,15,0,139
00113,0,0,0,0,24,0,12,0,36
00114,0,16,0,0,43,0,12,0,55
00115,0,0,0,0,216,0,0,0,216
00116,0,6,0,1,38,0,6,0,45
00117,0,0,0,0,4936,0,2437,0,7373
00118,0,30,1,8,89,0,19,0,117
00119,0,0,0,3,3,0,0,0,6
00120,0,16,0,13,55,0,9,0,77
00121,0,29,0,0,0,0,0,0,0
00122,0,13,0,0,2,0,0,0,2
00123,0,0,0,0,0,0,0,0,0
00124,0,21,0,0,0,0,0,0,0
00125,0,4,0,0,0,0,0,0,0
00126,0,0,0,0,0,0,0,0,0
00127,0,0,0,0,0,0,0,0,0
00128,0,31,0,0,1,0,0,0,1
00129,0,70,0,0,13,0,0,0,13
00130,0,0,0,0,3,0,0,0,3
00131,0,1,0,0,0,0,0,0,0
00132,0,3,0,0,18,0,0,0,18
00133,0,0,0,0,10,0,0,0,10
00134,0,0,0,0,0,0,0,0,0
00135,0,0,0,0,55,0,0,0,55
00136,0,2,0,0,48,0,0,0,48
00137,0,42,0,0,158,0,0,0,158
00138,0,127,0,0,386,0,0,0,386
00139,0,59,0,0,145,0,0,0,145
00140,0,578,0,0,511,0,0,0,511
00141,0,4,0,0,116,0,0,0,116
00142,0,770,0,0,604,0,0,0,604
00143,0,1069,0,0,187,0,0,0,187
00144,0,586,0,0,2168,0,0,0,2168
00145,0,22,0,0,60,0,0,0,60
00146,0,568,0,0,1211,0,0,0,1211
00147,0,110,0,0,4,0,0,0,4
00148,0,169,0,0,629,0,0,0,629
00149,0,88,0,0,213,0,0,0,213
00150,0,8,0,0,84,0,0,0,84
00151,0,0,0,5,263,0,48,0,316
00152,0,1,0,0,22,0,0,0,22
00153,0,0,0,23,186,0,24,0,233
00154,0,0,0,0,6,0,0,0,6
00155,0,0,0,0,86,0,0,0,86
00156,0,0,0,0,0,0,0,0,0
00157,0,0,0,0,438,0,0,0,438
00159,0,0,0,0,316,0,0,0,316
00161,0,0,0,0,0,0,0,0,0
00162,0,0,0,0,9,0,0,0,9
00163,0,106,0,0,31,0,0,0,31
00164,0,0,0,0,31,0,3,0,34
00165,0,0,0,4,125,0,0,0,129
00166,0,1,0,0,10,0,0,0,10
00167,0,108,0,4,456,0,12,0,472
00168,0,26,0,1,50,0,0,0,51
00169,0,0,0,85,169,0,22,0,276
00170,0,0,0,38,121,0,9,0,168
00171,0,0,0,27,61,0,12,0,100
00172,0,1,0,200,190,0,108,0,498
00173,0,0,0,371,98,0,120,0,589
00174,0,0,0,0,3626,0,1776,0,5402
00175,0,0,0,0,216,0,0,0,216
00176,0,9,12,7,76,0,17,0,112
00177,0,1384,0,0,357,0,0,0,357
00178,0,1,0,0,46,0,0,0,46
00179,0,1,0,0,25,0,0,0,25
00180,0,9,0,0,0,0,0,0,0
00181,0,27,0,0,0,0,0,0,0
00182,0,83,0,0,0,0,0,0,0
00183,0,12,0,0,0,0,0,0,0
00184,0,28,0,0,0,0,0,0,0
00185,0,25,0,0,0,0,0,0,0
00186,0,92,0,0,0,0,0,0,0
00187,0,27,0,0,0,0,0,0,0
00188,0,22,0,0,0,0,0,0,0
00189,0,66,0,0,7,0,0,0,7
00190,0,0,0,0,12,0,0,0,12
00191,0,13,0,0,0,0,0,0,0
00192,0,19,0,0,0,0,0,0,0
00193,0,8,0,0,116,0,0,0,116
00194,0,14,0,0,0,0,0,0,0
00195,0,9,0,0,155,0,0,0,155
00196,0,4,0,0,36,0,0,0,36
00197,0,7,0,0,80,0,0,0,80
00198,0,107,0,0,85,0,0,0,85
00199,0,49,0,0,0,0,0,0,0
00200,0,2,0,0,42,0,0,0,42
00201,0,1,0,0,25,0,0,0,25
00202,0,5,0,0,225,0,0,0,225
00203,0,0,0,0,21,0,0,0,21
00204,0,7,0,0,67,0,0,0,67
00205,0,0,0,0,5,0,0,0,5
00206,0,0,0,0,8,0,0,0,8
00207,0,0,0,0,8,0,0,0,8
00208,0,0,0,0,9,0,0,0,9
00209,0,15,0,0,27,0,18,0,45
00210,0,11,0,0,19,0,6,0,25
00211,0,13,0,0,106,0,0,0,106
00212,0,1,0,0,3,0,2,0,5
00213,0,1,0,0,3,0,2,0,5
00214,0,0,0,0,21,0,11,0,32
00215,0,0,0,0,10,0,7,0,17
00216,0,0,0,0,7,0,0,0,7
00217,0,0,0,0,8,0,1,0,9
00218,0,0,0,0,8,0,6,0,14
00219,0,0,0,0,18,0,0,0,18
00220,0,0,0,0,3,0,2,0,5
00221,0,0,0,0,16,0,1,0,17
00222,0,0,0,1,51,0,5,0,57
00223,0,5,0,0,8,0,4,0,12
00224,0,0,0,0,7,0,2,0,9
00225,0,0,0,0,3,0,0,0,3
00226,0,0,0,0,5,0,0,0,5
00227,0,0,0,0,6,0,0,0,6
00228,0,0,0,0,12,0,0,0,12
00229,0,0,0,0,36,0,2,0,38
00230,0,4,0,0,5,0,2,0,7
00231,0,0,0,0,4,0,0,0,4
00232,0,113,0,0,38,0,0,0,38
00233,0,0,0,0,4,0,1,0,5
00234,0,0,0,0,8,0,0,0,8
00235,0,0,0,0,18,0,6,0,24
00236,0,0,0,0,22,0,6,0,28
00237,0,3,0,0,2,0,1,0,3
00238,0,0,0,0,17,0,5,0,22
00239,0,73,0,0,215,0,0,0,215
00240,0,0,0,0,51,0,0,0,51
00241,0,0,0,0,28,0,1,0,29
00242,0,0,0,0,16,0,5,0,21
00243,0,1902,0,0,83,0,0,0,83
00244,0,52,0,0,0,0,0,0,0
00245,0,20,0,0,0,0,0,0,0
00246,0,9,0,0,0,0,0,0,0
00247,0,11,0,0,0,0,0,0,0
00248,0,7,0,0,101,0,0,0,101
00249,0,7,0,0,97,0,0,0,97
00250,0,8,0,0,111,0,0,0,111
00251,0,7,0,0,104,0,0,0,104
00252,0,7,0,0,107,0,0,0,107
00253,0,7,0,0,103,0,0,0,103
00254,0,7,0,0,164,0,0,0,164
00255,0,0,0,0,17,0,0,0,17
00256,0,81,0,0,65,0,0,0,65
00257,0,0,0,0,0,0,0,0,0
00258,0,0,0,0,0,0,0,0,0
00259,0,49,0,0,6,0,0,0,6
00260,0,11,0,0,0,0,0,0,0
00261,0,3,0,0,1,0,0,0,1
00262,0,3,0,0,1,0,0,0,1
00263,0,0,0,0,0,0,0,0,0
00264,0,4,0,0,2,0,0,0,2
00265,0,0,0,0,0,0,0,0,0
00266,0,1,0,0,17,0,0,0,17
00267,0,6,0,0,7,0,4,0,11
00268,0,1,0,0,3,0,0,0,3
00269,0,32,0,0,72,0,0,0,72
00270,0,12,0,0,63,0,0,0,63
00271,0,19,0,0,65,0,0,0,65
00272,0,28,0,0,77,0,0,0,77
00273,0,27,0,0,71,0,0,0,71
00274,0,20,0,0,94,0,0,0,94
00275,0,3,0,0,127,0,0,0,127
00276,0,3,0,0,13,0,0,0,13
00277,0,0,0,0,101,0,0,0,101
00278,0,43,0,0,0,0,0,0,0
00279,0,25,0,0,168,0,26,0,194
00280,0,88,0,0,257,0,0,0,257
00281,0,0,0,18,353,0,13,0,384
00282,0,0,0,43,893,0,66,0,1002
00283,0,44,3,43,979,0,83,0,1108
00284,0,74,2,45,1242,0,82,0,1371
00285,0,0,2,3570,53294,0,66179,0,123045
00286,0,0,0,0,32979,0,13961,0,46940
00287,0,6,0,0,25,0,0,0,25
00288,0,0,0,0,84,0,0,0,84
00289,0,0,0,0,35,0,0,0,35
00290,0,241,0,711,150,0,7,0,868
00292,0,0,0,0,31,0,0,0,31
00293,0,0,0,0,2083,0,16,0,2099
00294,0,0,0,0,41,0,0,0,41
00295,0,24,0,0,42,0,0,0,42
00296,0,0,0,0,66,0,16,0,82
00297,0,9,0,0,71,0,0,0,71
00298,0,0,0,0,81,0,0,0,81
00299,0,0,0,0,9,0,0,0,9
00300,0,5,0,0,0,0,0,0,0
00301,0,26,0,5,134,0,3,0,142
00302,0,359,0,0,374,0,0,0,374
00303,0,573,0,0,361,0,0,0,361
00304,0,219,0,0,38,0,0,0,38
00305,0,0,0,0,20,0,0,0,20
00306,0,0,0,0,14,0,0,0,14
